"turn","color","output","condition","time","score"
"BR04","azzurro","mucche","post","18",4
"BR04","azzurro","mucche","post","19",3
"BR04","azzurro","mucche","post","20",2
"BR04","azzurro","mucche","post","21",2
"BR04","azzurro","mucche","post","22",5
"BR04","azzurro","mucche","post","23",2
"BR04","azzurro","mucche","post","24",2
"BR04","azzurro","mucche","post","25",0
"BR04","azzurro","mucche","post","26",0
"BR04","azzurro","mucche","post","27",0
"BR04","azzurro","mucche","post","28",0
"BR04","azzurro","muccheperse","post","0",0
"BR04","azzurro","muccheperse","post","1",0
"BR04","azzurro","muccheperse","post","2",0
"BR04","azzurro","muccheperse","post","3",0
"BR04","azzurro","muccheperse","post","4",0
"BR04","azzurro","muccheperse","post","5",0
"BR04","azzurro","muccheperse","post","6",0
"BR04","azzurro","muccheperse","post","7",0
"BR04","azzurro","muccheperse","post","8",0
"BR04","azzurro","muccheperse","post","9",0
"BR04","azzurro","muccheperse","post","10",0
"BR04","azzurro","muccheperse","post","11",0
"BR04","azzurro","muccheperse","post","12",0
"BR04","azzurro","muccheperse","post","13",0
"BR04","azzurro","muccheperse","post","14",0
"BR04","azzurro","muccheperse","post","15",0
"BR04","azzurro","muccheperse","post","16",0
"BR04","azzurro","muccheperse","post","17",0
"BR04","azzurro","muccheperse","post","18",0
"BR04","azzurro","muccheperse","post","19",1
"BR04","azzurro","muccheperse","post","20",2
"BR04","azzurro","muccheperse","post","21",2
"BR04","azzurro","muccheperse","post","22",2
"BR04","azzurro","muccheperse","post","23",5
"BR04","azzurro","muccheperse","post","24",5
"BR04","azzurro","muccheperse","post","25",7
"BR04","azzurro","muccheperse","post","26",7
"BR04","azzurro","muccheperse","post","27",7
"BR04","azzurro","muccheperse","post","28",7
"BR04","azzurro","muccheslider","post","0",1
"BR04","azzurro","muccheslider","post","1",1
"BR04","azzurro","muccheslider","post","2",1
"BR04","azzurro","muccheslider","post","3",1
"BR04","azzurro","muccheslider","post","4",1
"BR04","azzurro","muccheslider","post","5",1
"BR04","azzurro","muccheslider","post","6",1
"BR04","azzurro","muccheslider","post","7",1
"BR04","azzurro","muccheslider","post","8",2
"BR04","azzurro","muccheslider","post","9",2
"BR04","azzurro","muccheslider","post","10",2
"BR04","azzurro","muccheslider","post","11",2
"BR04","azzurro","muccheslider","post","12",2
"BR04","azzurro","muccheslider","post","13",2
"BR04","azzurro","muccheslider","post","14",2
"BR04","azzurro","muccheslider","post","15",4
"BR04","azzurro","muccheslider","post","16",4
"BR04","azzurro","muccheslider","post","17",4
"BR04","azzurro","muccheslider","post","18",4
"BR04","azzurro","muccheslider","post","19",4
"BR04","azzurro","muccheslider","post","20",4
"BR04","azzurro","muccheslider","post","21",4
"BR04","azzurro","muccheslider","post","22",5
"BR04","azzurro","muccheslider","post","23",5
"BR04","azzurro","muccheslider","post","24",5
"BR04","azzurro","muccheslider","post","25",5
"BR04","azzurro","muccheslider","post","26",5
"BR04","azzurro","muccheslider","post","27",5
"BR04","azzurro","muccheslider","post","28",5
"BR04","blu","capital","post","0",10
"BR04","blu","capital","post","1",40
"BR04","blu","capital","post","2",70
"BR04","blu","capital","post","3",100
"BR04","blu","capital","post","4",130
"BR04","blu","capital","post","5",160
"BR04","blu","capital","post","6",190
"BR04","blu","capital","post","7",200
"BR04","blu","capital","post","8",170
"BR04","blu","capital","post","9",260
"BR04","blu","capital","post","10",350
"BR04","blu","capital","post","11",440
"BR04","blu","capital","post","12",490
"BR04","blu","capital","post","13",500
"BR04","blu","capital","post","14",510
"BR04","blu","capital","post","15",460
"BR04","blu","capital","post","16",670
"BR04","blu","capital","post","17",840
"BR04","blu","capital","post","18",930
"BR04","blu","capital","post","19",1020
"BR04","blu","capital","post","20",1070
"BR04","blu","capital","post","21",1040
"BR04","blu","capital","post","22",1700
"BR04","blu","capital","post","23",2400
"BR04","blu","capital","post","24",2280
"BR04","blu","capital","post","25",1920
"BR04","blu","capital","post","26",1520
"BR04","blu","capital","post","27",1120
"BR04","blu","capital","post","28",720
"BR04","blu","ccr","post","0",0
"BR04","blu","ccr","post","1",0
"BR04","blu","ccr","post","2",0
"BR04","blu","ccr","post","3",0
"BR04","blu","ccr","post","4",0
"BR04","blu","ccr","post","5",0
"BR04","blu","ccr","post","6",0
"BR04","blu","ccr","post","7",0
"BR04","blu","ccr","post","8",100
"BR04","blu","ccr","post","9",100
"BR04","blu","ccr","post","10",100
"BR04","blu","ccr","post","11",100
"BR04","blu","ccr","post","12",100
"BR04","blu","ccr","post","13",100
"BR04","blu","ccr","post","14",100
"BR04","blu","ccr","post","15",200
"BR04","blu","ccr","post","16",200
"BR04","blu","ccr","post","17",200
"BR04","blu","ccr","post","18",200
"BR04","blu","ccr","post","19",200
"BR04","blu","ccr","post","20",200
"BR04","blu","ccr","post","21",200
"BR04","blu","ccr","post","22",150
"BR04","blu","ccr","post","23",150
"BR04","blu","ccr","post","24",150
"BR04","blu","ccr","post","25",150
"BR04","blu","ccr","post","26",150
"BR04","blu","ccr","post","27",150
"BR04","blu","ccr","post","28",150
"BR04","blu","daysurvived","post","0",0
"BR04","blu","daysurvived","post","1",1
"BR04","blu","daysurvived","post","2",2
"BR04","blu","daysurvived","post","3",3
"BR04","blu","daysurvived","post","4",4
"BR04","blu","daysurvived","post","5",5
"BR04","blu","daysurvived","post","6",6
"BR04","blu","daysurvived","post","7",7
"BR04","blu","daysurvived","post","8",8
"BR04","blu","daysurvived","post","9",9
"BR04","blu","daysurvived","post","10",10
"BR04","blu","daysurvived","post","11",11
"BR04","blu","daysurvived","post","12",12
"BR04","blu","daysurvived","post","13",13
"BR04","blu","daysurvived","post","14",14
"BR04","blu","daysurvived","post","15",15
"BR04","blu","daysurvived","post","16",16
"BR04","blu","daysurvived","post","17",17
"BR04","blu","daysurvived","post","18",18
"BR04","blu","daysurvived","post","19",19
"BR04","blu","daysurvived","post","20",20
"BR04","blu","daysurvived","post","21",21
"BR04","blu","daysurvived","post","22",22
"BR04","blu","daysurvived","post","23",23
"BR04","blu","daysurvived","post","24",24
"BR04","blu","daysurvived","post","25",25
"BR04","blu","daysurvived","post","26",26
"BR04","blu","daysurvived","post","27",27
"BR04","blu","daysurvived","post","28",28
"BR04","blu","energiaaquisita","post","0",0
"BR04","blu","energiaaquisita","post","1",40
"BR04","blu","energiaaquisita","post","2",80
"BR04","blu","energiaaquisita","post","3",120
"BR04","blu","energiaaquisita","post","4",160
"BR04","blu","energiaaquisita","post","5",200
"BR04","blu","energiaaquisita","post","6",240
"BR04","blu","energiaaquisita","post","7",260
"BR04","blu","energiaaquisita","post","8",380
"BR04","blu","energiaaquisita","post","9",500
"BR04","blu","energiaaquisita","post","10",620
"BR04","blu","energiaaquisita","post","11",740
"BR04","blu","energiaaquisita","post","12",820
"BR04","blu","energiaaquisita","post","13",860
"BR04","blu","energiaaquisita","post","14",900
"BR04","blu","energiaaquisita","post","15",1180
"BR04","blu","energiaaquisita","post","16",1460
"BR04","blu","energiaaquisita","post","17",1700
"BR04","blu","energiaaquisita","post","18",1860
"BR04","blu","energiaaquisita","post","19",2020
"BR04","blu","energiaaquisita","post","20",2140
"BR04","blu","energiaaquisita","post","21",2180
"BR04","blu","energiaaquisita","post","22",3780
"BR04","blu","energiaaquisita","post","23",4880
"BR04","blu","energiaaquisita","post","24",5160
"BR04","blu","energiaaquisita","post","25",5200
"BR04","blu","energiaaquisita","post","26",5200
"BR04","blu","energiaaquisita","post","27",5200
"BR04","blu","energiaaquisita","post","28",5200
"BR04","blu","giornaliero","post","0",0
"BR04","blu","giornaliero","post","1",40
"BR04","blu","giornaliero","post","2",40
"BR04","blu","giornaliero","post","3",40
"BR04","blu","giornaliero","post","4",40
"BR04","blu","giornaliero","post","5",40
"BR04","blu","giornaliero","post","6",40
"BR04","blu","giornaliero","post","7",20
"BR04","blu","giornaliero","post","8",120
"BR04","blu","giornaliero","post","9",120
"BR04","blu","giornaliero","post","10",120
"BR04","blu","giornaliero","post","11",120
"BR04","blu","giornaliero","post","12",80
"BR04","blu","giornaliero","post","13",40
"BR04","blu","giornaliero","post","14",40
"BR04","blu","giornaliero","post","15",280
"BR04","blu","giornaliero","post","16",280
"BR04","blu","giornaliero","post","17",240
"BR04","blu","giornaliero","post","18",160
"BR04","blu","giornaliero","post","19",160
"BR04","blu","giornaliero","post","20",120
"BR04","blu","giornaliero","post","21",40
"BR04","blu","giornaliero","post","22",1600
"BR04","blu","giornaliero","post","23",1100
"BR04","blu","giornaliero","post","24",280
"BR04","blu","giornaliero","post","25",40
"BR04","blu","giornaliero","post","26",0
"BR04","blu","giornaliero","post","27",0
"BR04","blu","giornaliero","post","28",0
"BR04","blu","mucche","post","0",1
"BR04","blu","mucche","post","1",1
"BR04","blu","mucche","post","2",1
"BR04","blu","mucche","post","3",1
"BR04","blu","mucche","post","4",1
"BR04","blu","mucche","post","5",1
